title,artist,year,beats_per_minute_bpm,energy,danceability,loudness_db,liveness,valence,length_duration,acousticness,speechiness,popularity,top_genre_acoustic pop,top_genre_adult standards,top_genre_afropop,top_genre_alaska indie,top_genre_album rock,top_genre_alternative country,top_genre_alternative dance,top_genre_alternative hip hop,top_genre_alternative metal,top_genre_alternative pop,top_genre_alternative pop rock,top_genre_alternative rock,top_genre_arkansas country,top_genre_art pop,top_genre_art rock,top_genre_atl hip hop,top_genre_australian alternative rock,top_genre_australian americana,top_genre_australian dance,top_genre_australian indie folk,top_genre_australian pop,top_genre_australian psych,top_genre_australian rock,top_genre_austropop,top_genre_barbadian pop,top_genre_baroque pop,top_genre_basshall,top_genre_bebop,top_genre_belgian pop,top_genre_belgian rock,top_genre_big beat,top_genre_big room,top_genre_blues,top_genre_blues rock,top_genre_bow pop,top_genre_boy band,top_genre_brill building pop,top_genre_british alternative rock,top_genre_british folk,top_genre_british invasion,top_genre_british singer-songwriter,top_genre_british soul,top_genre_britpop,top_genre_bubblegum pop,top_genre_canadian folk,top_genre_canadian pop,top_genre_canadian rock,top_genre_candy pop,top_genre_carnaval limburg,top_genre_ccm,top_genre_celtic,top_genre_celtic punk,top_genre_celtic rock,top_genre_chamber pop,top_genre_chanson,top_genre_chicago soul,top_genre_christelijk,top_genre_classic canadian rock,top_genre_classic country pop,top_genre_classic italian pop,top_genre_classic rock,top_genre_classic schlager,top_genre_classic soul,top_genre_classic soundtrack,top_genre_classic uk pop,top_genre_classical rock,top_genre_compositional ambient,top_genre_contemporary country,top_genre_contemporary vocal jazz,top_genre_cyberpunk,top_genre_dance pop,top_genre_dance rock,top_genre_danish pop,top_genre_danish pop rock,top_genre_detroit hip hop,top_genre_disco,top_genre_diva house,top_genre_downtempo,top_genre_dutch americana,top_genre_dutch cabaret,top_genre_dutch hip hop,top_genre_dutch indie,top_genre_dutch metal,top_genre_dutch pop,top_genre_dutch prog,top_genre_dutch rock,top_genre_east coast hip hop,top_genre_edm,top_genre_electro,top_genre_electro house,top_genre_electronica,top_genre_electropop,top_genre_eurodance,top_genre_europop,top_genre_finnish metal,top_genre_folk,top_genre_folk-pop,top_genre_funk,top_genre_g funk,top_genre_gabba,top_genre_gangster rap,top_genre_garage rock,top_genre_german alternative rock,top_genre_german pop,top_genre_german pop rock,top_genre_glam metal,top_genre_glam rock,top_genre_happy hardcore,top_genre_hard rock,top_genre_hip pop,top_genre_icelandic indie,top_genre_indie anthem-folk,top_genre_indie pop,top_genre_irish pop,top_genre_irish rock,top_genre_irish singer-songwriter,top_genre_italian pop,top_genre_j-core,top_genre_la pop,top_genre_laboratorio,top_genre_latin,top_genre_latin alternative,top_genre_latin jazz,top_genre_levenslied,top_genre_mellow gold,top_genre_metropopolis,top_genre_modern folk rock,top_genre_modern rock,top_genre_motown,top_genre_nederpop,top_genre_neo mellow,top_genre_neo soul,top_genre_new wave pop,top_genre_operatic pop,top_genre_permanent wave,top_genre_pop,top_genre_pop punk,top_genre_punk,top_genre_reggae,top_genre_reggae fusion,top_genre_rock-and-roll,top_genre_scottish singer-songwriter,top_genre_soft rock,top_genre_stomp and holler,top_genre_streektaal,top_genre_trance,top_genre_uk pop,top_genre_yacht rock
Sunrise,Norah Jones,0.7619047619047592,0.7100591715976331,0.27835051546391754,0.5,0.52,0.09278350515463918,0.6770833333333333,0.12371134020618557,0.9494949494949496,0.01886792452830189,0.6741573033707865,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Black Night,Deep Purple,0.6984126984126959,0.5798816568047337,0.7835051546391752,0.4651162790697675,0.6400000000000001,0.15463917525773194,0.8125,0.13058419243986255,0.17171717171717174,0.09433962264150944,0.3146067415730337,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Clint Eastwood,Gorillaz,0.7142857142857117,0.7751479289940828,0.6804123711340206,0.6511627906976745,0.7200000000000001,0.05154639175257732,0.5104166666666666,0.284077892325315,0.020202020202020204,0.2830188679245283,0.651685393258427,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Pretender,Foo Fighters,0.8095238095238066,0.8047337278106508,0.9587628865979382,0.38372093023255816,0.92,0.010309278350515465,0.35416666666666663,0.2016036655211913,0.0,0.03773584905660377,0.7303370786516854,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Waitin' On A Sunny Day,Bruce Springsteen,0.7301587301587276,0.40828402366863903,0.8144329896907216,0.5581395348837209,0.8800000000000001,0.08247422680412371,0.875,0.18671248568155785,0.010101010101010102,0.01886792452830189,0.5393258426966292,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Road Ahead (Miles Of The Unknown),City To City,0.7619047619047592,0.3668639053254438,0.44329896907216493,0.5116279069767442,0.7200000000000001,0.12371134020618556,0.11458333333333331,0.17640320733104237,0.0,0.0,0.3820224719101124,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
She Will Be Loved,Maroon 5,0.7301587301587276,0.3846153846153846,0.7010309278350515,0.7093023255813954,0.8400000000000001,0.1134020618556701,0.53125,0.18785796105383734,0.06060606060606061,0.01886792452830189,0.7078651685393259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Knights of Cydonia,Muse,0.7936507936507908,0.591715976331361,0.9587628865979382,0.313953488372093,0.8800000000000001,0.10309278350515465,0.1875,0.3127147766323024,0.0,0.22641509433962265,0.651685393258427,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mr. Brightside,The Killers,0.7619047619047592,0.6568047337278107,0.9175257731958762,0.3023255813953488,0.92,0.08247422680412371,0.20833333333333331,0.1489117983963345,0.0,0.11320754716981132,0.7415730337078652,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Without Me,Eminem,0.7301587301587276,0.44378698224852065,0.6597938144329897,0.941860465116279,0.9600000000000001,0.2268041237113402,0.65625,0.22565864833906074,0.0,0.09433962264150944,0.7977528089887641,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
